case_number,gender,day,time_of_day,Offence,City
5722cbfefc13ae3fa400091c,Female,Saturday,Evening,Assault,Orange
5722cbfefc13ae3fa400091d,Female,Saturday,Afternoon,Murder,Los Alamitos
5722cbfefc13ae3fa400091e,Male,Friday,Night,Murder,Lake Forest
5722cbfefc13ae3fa400091f,Female,Tuesday,Afternoon,Shooting,Garden Grove
5722cbfefc13ae3fa4000920,Male,Saturday,Evening,Kidnap,Laguna Niguel
5722cbfefc13ae3fa4000921,Male,Monday,Evening,Shooting,Westminster
5722cbfefc13ae3fa4000922,Female,Tuesday,Evening,Assault,Yorba Linda
5722cbfefc13ae3fa4000923,Female,Saturday,Night,Shooting,Seal Beach
5722cbfefc13ae3fa4000924,Female,Friday,Afternoon,Assault,Buena Park
5722cbfefc13ae3fa4000925,Male,Friday,Night,Theft,Fullerton
5722cbfefc13ae3fa4000926,Female,Monday,Afternoon,Kidnap,Placentia
5722cbfefc13ae3fa4000927,Male,Wednesday,Night,Assault,Laguna Woods
5722cbfefc13ae3fa4000928,Male,Sunday,Night,Assault,Placentia
5722cbfefc13ae3fa4000929,Male,Friday,Night,Shooting,Orange
5722cbfefc13ae3fa400092a,Male,Tuesday,Evening,Shooting,Westminster
5722cbfefc13ae3fa400092b,Male,Monday,Afternoon,Theft,Los Alamitos
5722cbfefc13ae3fa400092c,Male,Wednesday,Evening,Kidnap,Fountain Valley
5722cbfefc13ae3fa400092d,Female,Sunday,Evening,Assault,Stanton
5722cbfefc13ae3fa400092e,Male,Saturday,Afternoon,Assault,Huntington Beach
5722cbfefc13ae3fa400092f,Female,Tuesday,Afternoon,Theft,Villa Park
5722cbfefc13ae3fa4000930,Male,Monday,Evening,Murder,Placentia
5722cbfefc13ae3fa4000931,Male,Wednesday,Night,Assault,Costa Mesa
5722cbfefc13ae3fa4000932,Male,Friday,Afternoon,Murder,Buena Park
5722cbfefc13ae3fa4000933,Female,Thursday,Night,Assault,Tustin
5722cbfefc13ae3fa4000934,Female,Wednesday,Evening,Kidnap,Yorba Linda
5722cbfefc13ae3fa4000935,Male,Tuesday,Afternoon,Theft,Stanton
5722cbfefc13ae3fa4000936,Male,Thursday,Evening,Murder,Newport Beach
5722cbfefc13ae3fa4000937,Male,Tuesday,Night,Kidnap,Irvine
5722cbfefc13ae3fa4000938,Male,Wednesday,Night,Theft,Santa Ana
5722cbfefc13ae3fa4000939,Male,Monday,Evening,Theft,Orange
5722cbfefc13ae3fa400093a,Male,Friday,Afternoon,Theft,San Juan Capistrano
5722cbfefc13ae3fa400093b,Male,Tuesday,Afternoon,Shooting,Fullerton
5722cbfefc13ae3fa400093c,Female,Tuesday,Night,Assault,Huntington Beach
5722cbfefc13ae3fa400093d,Male,Saturday,Afternoon,Shooting,Placentia
5722cbfefc13ae3fa400093e,Male,Monday,Night,Murder,Santa Ana
5722cbfefc13ae3fa400093f,Male,Sunday,Night,Shooting,San Juan Capistrano
5722cbfefc13ae3fa4000940,Male,Saturday,Afternoon,Murder,San Clemente
5722cbfefc13ae3fa4000941,Female,Wednesday,Evening,Theft,Costa Mesa
5722cbfefc13ae3fa4000942,Male,Sunday,Afternoon,Assault,Laguna Beach
5722cbfefc13ae3fa4000943,Male,Friday,Afternoon,Assault,Fullerton
5722cbfefc13ae3fa4000944,Male,Friday,Evening,Murder,Tustin
5722cbfefc13ae3fa4000945,Male,Tuesday,Evening,Shooting,Cypress
5722cbfefc13ae3fa4000946,Female,Sunday,Afternoon,Assault,Laguna Hills
5722cbfefc13ae3fa4000947,Male,Saturday,Evening,Kidnap,Lake Forest
5722cbfefc13ae3fa4000948,Male,Tuesday,Night,Kidnap,San Clemente
5722cbfefc13ae3fa4000949,Male,Wednesday,Afternoon,Shooting,Aliso Viejo
5722cbfefc13ae3fa400094a,Female,Thursday,Afternoon,Murder,Mission Viejo
5722cbfefc13ae3fa400094b,Female,Friday,Night,Assault,Laguna Beach
5722cbfefc13ae3fa400094c,Male,Tuesday,Evening,Assault,Fullerton
5722cbfefc13ae3fa400094d,Male,Saturday,Afternoon,Theft,Seal Beach
5722cbfefc13ae3fa400094e,Male,Saturday,Night,Theft,Dana Point
5722cbfefc13ae3fa400094f,Female,Friday,Evening,Murder,Cypress
5722cbfefc13ae3fa4000950,Male,Monday,Night,Kidnap,Stanton
