case_number,gender,day,time_of_day,Offence,City
5722cc14fc13ae3fad000970,Male,Saturday,Night,Assault,Dana Point
5722cc14fc13ae3fad000971,Female,Saturday,Afternoon,Theft,Los Alamitos
5722cc14fc13ae3fad000972,Female,Saturday,Night,Theft,Costa Mesa
5722cc14fc13ae3fad000973,Male,Sunday,Evening,Theft,Yorba Linda
5722cc14fc13ae3fad000974,Male,Saturday,Evening,Assault,Santa Ana
5722cc14fc13ae3fad000975,Male,Sunday,Evening,Assault,Lake Forest
5722cc14fc13ae3fad000976,Male,Sunday,Evening,Assault,Brea
5722cc14fc13ae3fad000977,Male,Saturday,Afternoon,Theft,Brea
5722cc14fc13ae3fad000978,Female,Sunday,Night,Theft,Garden Grove
5722cc14fc13ae3fad000979,Male,Saturday,Evening,Theft,Los Alamitos
5722cc14fc13ae3fad00097a,Female,Saturday,Afternoon,Theft,Tustin
5722cc14fc13ae3fad00097b,Male,Friday,Evening,Kidnap,Tustin
5722cc14fc13ae3fad00097c,Male,Sunday,Night,Theft,Anaheim
5722cc15fc13ae3fad00097d,Male,Saturday,Evening,Kidnap,Dana Point
5722cc15fc13ae3fad00097e,Male,Saturday,Night,Assault,Irvine
5722cc15fc13ae3fad00097f,Male,Friday,Afternoon,Theft,Laguna Beach
5722cc15fc13ae3fad000980,Male,Saturday,Night,Assault,Newport Beach
5722cc15fc13ae3fad000981,Male,Sunday,Afternoon,Theft,Orange
5722cc15fc13ae3fad000982,Female,Sunday,Night,Assault,Garden Grove
5722cc15fc13ae3fad000983,Male,Sunday,Night,Kidnap,Fullerton
5722cc15fc13ae3fad000984,Female,Saturday,Night,Assault,San Clemente
5722cc15fc13ae3fad000985,Female,Saturday,Night,Assault,Santa Ana
5722cc15fc13ae3fad000986,Female,Friday,Night,Theft,Brea
5722cc15fc13ae3fad000987,Male,Saturday,Night,Theft,La Habra
5722cc15fc13ae3fad000988,Male,Friday,Evening,Kidnap,San Juan Capistrano
5722cc15fc13ae3fad000989,Male,Saturday,Evening,Kidnap,Aliso Viejo
5722cc15fc13ae3fad00098a,Female,Sunday,Afternoon,Assault,Lake Forest
5722cc15fc13ae3fad00098b,Female,Saturday,Afternoon,Theft,Buena Park
5722cc15fc13ae3fad00098c,Female,Sunday,Night,Assault,Brea
5722cc15fc13ae3fad00098d,Male,Sunday,Afternoon,Theft,La Habra
