case_number,gender,day,time_of_day,Offence,City
5722cc23fc13ae3fa4000d04,Female,Saturday,Night,Kidnap,Placentia
5722cc23fc13ae3fa4000d05,Female,Sunday,Night,Assault,Fullerton
5722cc23fc13ae3fa4000d06,Male,Sunday,Evening,Theft,Costa Mesa
5722cc23fc13ae3fa4000d07,Female,Saturday,Evening,Theft,Tustin
5722cc23fc13ae3fa4000d08,Female,Sunday,Night,Kidnap,Anaheim
5722cc23fc13ae3fa4000d09,Male,Friday,Night,Kidnap,Anaheim
5722cc23fc13ae3fa4000d0a,Male,Sunday,Evening,Kidnap,Tustin
5722cc23fc13ae3fa4000d0b,Female,Sunday,Afternoon,Theft,Santa Ana
5722cc23fc13ae3fa4000d0c,Female,Friday,Evening,Theft,Fullerton
5722cc23fc13ae3fa4000d0d,Female,Friday,Evening,Assault,Anaheim
5722cc23fc13ae3fa4000d0e,Male,Saturday,Afternoon,Theft,Tustin
5722cc23fc13ae3fa4000d0f,Male,Friday,Night,Kidnap,Costa Mesa
5722cc23fc13ae3fa4000d10,Female,Saturday,Night,Assault,Fullerton
5722cc23fc13ae3fa4000d11,Male,Friday,Night,Kidnap,Fullerton
5722cc23fc13ae3fa4000d12,Male,Sunday,Evening,Assault,Costa Mesa
5722cc23fc13ae3fa4000d13,Female,Saturday,Evening,Kidnap,Tustin
5722cc23fc13ae3fa4000d14,Male,Saturday,Afternoon,Assault,Costa Mesa
5722cc23fc13ae3fa4000d15,Male,Saturday,Evening,Kidnap,Costa Mesa
5722cc23fc13ae3fa4000d16,Female,Friday,Evening,Theft,Anaheim
5722cc23fc13ae3fa4000d17,Female,Saturday,Night,Assault,Tustin
5722cc23fc13ae3fa4000d18,Male,Friday,Night,Theft,Santa Ana
5722cc23fc13ae3fa4000d19,Female,Sunday,Night,Kidnap,Tustin
5722cc23fc13ae3fa4000d1a,Male,Saturday,Evening,Theft,Fullerton
5722cc23fc13ae3fa4000d1b,Male,Saturday,Evening,Assault,Santa Ana
5722cc23fc13ae3fa4000d1c,Male,Friday,Evening,Assault,Placentia
