case_number,gender,day,time_of_day,Offence,City
5722cc5ffc13ae3fb3001fdd,Female,Saturday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3001fde,Female,Saturday,Night,Shooting,Tustin
5722cc5ffc13ae3fb3001fdf,Female,Sunday,Night,Kidnap,Costa Mesa
5722cc5ffc13ae3fb3001fe0,Female,Sunday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3001fe1,Male,Sunday,Night,Shooting,Tustin
5722cc5ffc13ae3fb3001fe2,Male,Saturday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3001fe3,Male,Saturday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb3001fe4,Female,Sunday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3001fe5,Female,Saturday,Night,Kidnap,Costa Mesa
5722cc5ffc13ae3fb3001fe6,Female,Saturday,Night,Kidnap,Costa Mesa
5722cc5ffc13ae3fb3001fe7,Female,Sunday,Night,Theft,Tustin
5722cc5ffc13ae3fb3001fe8,Female,Saturday,Night,Assault,Tustin
5722cc5ffc13ae3fb3001fe9,Female,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb3001fea,Male,Sunday,Night,Theft,Tustin
5722cc5ffc13ae3fb3001feb,Female,Sunday,Night,Kidnap,Placentia
5722cc5ffc13ae3fb3001fec,Male,Saturday,Night,Kidnap,Tustin
5722cc5ffc13ae3fb3001fed,Male,Saturday,Night,Shooting,Tustin
5722cc5ffc13ae3fb3001fee,Female,Sunday,Night,Shooting,Placentia
5722cc5ffc13ae3fb3001fef,Female,Saturday,Night,Theft,Santa Ana
5722cc5ffc13ae3fb3001ff0,Male,Sunday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3001ff1,Male,Saturday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3001ff2,Male,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb3001ff3,Male,Sunday,Night,Shooting,Placentia
5722cc5ffc13ae3fb3001ff4,Female,Sunday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3001ff5,Male,Saturday,Night,Assault,Tustin
5722cc5ffc13ae3fb3001ff6,Female,Saturday,Night,Shooting,Placentia
5722cc5ffc13ae3fb3001ff7,Male,Sunday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3001ff8,Female,Saturday,Night,Assault,Tustin
5722cc5ffc13ae3fb3001ff9,Female,Sunday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb3001ffa,Female,Sunday,Night,Kidnap,Placentia
5722cc5ffc13ae3fb3001ffb,Male,Sunday,Night,Kidnap,Costa Mesa
5722cc5ffc13ae3fb3001ffc,Male,Sunday,Night,Theft,Tustin
5722cc5ffc13ae3fb3001ffd,Male,Saturday,Night,Kidnap,Placentia
5722cc5ffc13ae3fb3001ffe,Male,Sunday,Night,Shooting,Tustin
5722cc5ffc13ae3fb3001fff,Female,Saturday,Night,Assault,Santa Ana
5722cc5ffc13ae3fb3002000,Female,Saturday,Night,Shooting,Santa Ana
5722cc5ffc13ae3fb3002001,Female,Saturday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb3002002,Female,Sunday,Night,Kidnap,Santa Ana
5722cc5ffc13ae3fb3002003,Female,Sunday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3002004,Male,Saturday,Night,Shooting,Placentia
5722cc5ffc13ae3fb3002005,Male,Saturday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3002006,Male,Saturday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3002007,Male,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb3002008,Male,Saturday,Night,Kidnap,Santa Ana
5722cc5ffc13ae3fb3002009,Male,Sunday,Night,Shooting,Tustin
5722cc5ffc13ae3fb300200a,Female,Saturday,Night,Kidnap,Placentia
5722cc5ffc13ae3fb300200b,Female,Saturday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb300200c,Female,Sunday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb300200d,Female,Saturday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb300200e,Female,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb300200f,Female,Sunday,Night,Shooting,Tustin
5722cc5ffc13ae3fb3002010,Male,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb3002011,Male,Sunday,Night,Assault,Santa Ana
5722cc5ffc13ae3fb3002012,Male,Saturday,Night,Theft,Santa Ana
5722cc5ffc13ae3fb3002013,Female,Saturday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3002014,Female,Saturday,Night,Shooting,Santa Ana
5722cc5ffc13ae3fb3002015,Female,Sunday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb3002016,Male,Sunday,Night,Kidnap,Costa Mesa
5722cc5ffc13ae3fb3002017,Male,Sunday,Night,Assault,Costa Mesa
5722cc5ffc13ae3fb3002018,Male,Saturday,Night,Assault,Placentia
5722cc5ffc13ae3fb3002019,Male,Saturday,Night,Assault,Santa Ana
5722cc5ffc13ae3fb300201a,Male,Saturday,Night,Assault,Tustin
5722cc5ffc13ae3fb300201b,Male,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb300201c,Female,Sunday,Night,Theft,Tustin
5722cc5ffc13ae3fb300201d,Female,Sunday,Night,Shooting,Santa Ana
5722cc5ffc13ae3fb300201e,Male,Saturday,Night,Kidnap,Tustin
5722cc5ffc13ae3fb300201f,Female,Sunday,Night,Shooting,Costa Mesa
5722cc5ffc13ae3fb3002020,Male,Sunday,Night,Kidnap,Tustin
5722cc5ffc13ae3fb3002021,Female,Sunday,Night,Theft,Costa Mesa
5722cc5ffc13ae3fb3002022,Female,Saturday,Night,Kidnap,Placentia
5722cc5ffc13ae3fb3002023,Female,Saturday,Night,Shooting,Santa Ana
5722cc5ffc13ae3fb3002024,Male,Saturday,Night,Kidnap,Costa Mesa
5722cc5ffc13ae3fb3002025,Female,Saturday,Night,Kidnap,Santa Ana
5722cc5ffc13ae3fb3002026,Male,Sunday,Night,Assault,Tustin
5722cc5ffc13ae3fb3002027,Female,Sunday,Night,Kidnap,Tustin
5722cc5ffc13ae3fb3002028,Female,Saturday,Night,Shooting,Santa Ana
5722cc5ffc13ae3fb3002029,Female,Saturday,Night,Assault,Tustin
5722cc5ffc13ae3fb300202a,Female,Sunday,Night,Theft,Santa Ana
5722cc5ffc13ae3fb300202b,Female,Sunday,Night,Assault,Costa Mesa
