case_number,gender,day,time_of_day,Offence,City
5722cc2efc13ae3fb3001bf5,Male,Saturday,Night,Theft,Santa Ana
5722cc2efc13ae3fb3001bf6,Female,Saturday,Evening,Kidnap,Anaheim
5722cc2efc13ae3fb3001bf7,Female,Sunday,Evening,Assault,Fullerton
5722cc2efc13ae3fb3001bf8,Female,Sunday,Evening,Theft,Costa Mesa
5722cc2efc13ae3fb3001bf9,Female,Sunday,Evening,Theft,Tustin
5722cc2efc13ae3fb3001bfa,Male,Sunday,Night,Kidnap,Fullerton
5722cc2efc13ae3fb3001bfb,Male,Sunday,Night,Theft,Costa Mesa
5722cc2efc13ae3fb3001bfc,Female,Saturday,Night,Theft,Santa Ana
5722cc2efc13ae3fb3001bfd,Male,Saturday,Evening,Theft,Fullerton
5722cc2efc13ae3fb3001bfe,Female,Friday,Night,Kidnap,Placentia
5722cc2efc13ae3fb3001bff,Male,Friday,Evening,Kidnap,Tustin
5722cc2efc13ae3fb3001c00,Male,Sunday,Night,Assault,Placentia
5722cc2efc13ae3fb3001c01,Female,Sunday,Night,Theft,Fullerton
5722cc2efc13ae3fb3001c02,Male,Saturday,Evening,Theft,Fullerton
5722cc2efc13ae3fb3001c03,Male,Friday,Night,Theft,Tustin
5722cc2efc13ae3fb3001c04,Male,Sunday,Evening,Kidnap,Tustin
5722cc2efc13ae3fb3001c05,Female,Sunday,Evening,Kidnap,Placentia
5722cc2efc13ae3fb3001c06,Male,Saturday,Night,Kidnap,Santa Ana
5722cc2efc13ae3fb3001c07,Female,Sunday,Evening,Theft,Costa Mesa
5722cc2efc13ae3fb3001c08,Female,Saturday,Night,Kidnap,Fullerton
5722cc2efc13ae3fb3001c09,Male,Saturday,Evening,Assault,Placentia
5722cc2efc13ae3fb3001c0a,Male,Sunday,Evening,Theft,Costa Mesa
5722cc2efc13ae3fb3001c0b,Female,Saturday,Evening,Kidnap,Tustin
5722cc2efc13ae3fb3001c0c,Male,Friday,Night,Kidnap,Fullerton
5722cc2efc13ae3fb3001c0d,Male,Friday,Night,Kidnap,Placentia
5722cc2efc13ae3fb3001c0e,Male,Saturday,Evening,Kidnap,Fullerton
5722cc2efc13ae3fb3001c0f,Male,Saturday,Night,Assault,Tustin
5722cc2efc13ae3fb3001c10,Female,Friday,Night,Assault,Placentia
5722cc2efc13ae3fb3001c11,Male,Saturday,Night,Assault,Santa Ana
5722cc2efc13ae3fb3001c12,Female,Friday,Night,Kidnap,Anaheim
5722cc2efc13ae3fb3001c13,Female,Saturday,Evening,Kidnap,Tustin
5722cc2efc13ae3fb3001c14,Male,Sunday,Evening,Assault,Placentia
5722cc2efc13ae3fb3001c15,Male,Friday,Evening,Theft,Costa Mesa
5722cc2efc13ae3fb3001c16,Female,Saturday,Evening,Theft,Tustin
5722cc2efc13ae3fb3001c17,Male,Sunday,Evening,Kidnap,Tustin
5722cc2efc13ae3fb3001c18,Female,Sunday,Night,Kidnap,Costa Mesa
5722cc2efc13ae3fb3001c19,Female,Sunday,Night,Kidnap,Fullerton
5722cc2efc13ae3fb3001c1a,Male,Sunday,Night,Kidnap,Costa Mesa
5722cc2efc13ae3fb3001c1b,Female,Sunday,Night,Assault,Placentia
5722cc2efc13ae3fb3001c1c,Male,Sunday,Night,Assault,Placentia
5722cc2efc13ae3fb3001c1d,Male,Friday,Evening,Assault,Fullerton
5722cc2efc13ae3fb3001c1e,Male,Saturday,Evening,Theft,Placentia
5722cc2efc13ae3fb3001c1f,Female,Saturday,Evening,Kidnap,Santa Ana
5722cc2efc13ae3fb3001c20,Male,Saturday,Night,Kidnap,Tustin
5722cc2efc13ae3fb3001c21,Female,Saturday,Evening,Assault,Fullerton
5722cc2efc13ae3fb3001c22,Female,Saturday,Evening,Assault,Costa Mesa
5722cc2efc13ae3fb3001c23,Male,Saturday,Night,Assault,Costa Mesa
5722cc2efc13ae3fb3001c24,Male,Saturday,Evening,Theft,Costa Mesa
5722cc2efc13ae3fb3001c25,Female,Saturday,Night,Theft,Tustin
5722cc2efc13ae3fb3001c26,Male,Saturday,Night,Assault,Tustin
5722cc2efc13ae3fb3001c27,Female,Friday,Evening,Kidnap,Costa Mesa
5722cc2efc13ae3fb3001c28,Female,Saturday,Evening,Kidnap,Fullerton
5722cc2efc13ae3fb3001c29,Female,Saturday,Evening,Theft,Costa Mesa
5722cc2efc13ae3fb3001c2a,Female,Saturday,Evening,Theft,Fullerton
5722cc2efc13ae3fb3001c2b,Female,Saturday,Night,Theft,Anaheim
5722cc2efc13ae3fb3001c2c,Female,Friday,Night,Theft,Costa Mesa
5722cc2efc13ae3fb3001c2d,Female,Sunday,Evening,Kidnap,Santa Ana
5722cc2efc13ae3fb3001c2e,Male,Friday,Evening,Kidnap,Tustin
5722cc2efc13ae3fb3001c2f,Male,Sunday,Night,Theft,Fullerton
5722cc2efc13ae3fb3001c30,Female,Saturday,Night,Kidnap,Placentia
5722cc2efc13ae3fb3001c31,Male,Friday,Evening,Kidnap,Anaheim
5722cc2efc13ae3fb3001c32,Male,Sunday,Night,Theft,Santa Ana
5722cc2efc13ae3fb3001c33,Female,Sunday,Night,Kidnap,Costa Mesa
5722cc2efc13ae3fb3001c34,Male,Sunday,Evening,Kidnap,Costa Mesa
5722cc2efc13ae3fb3001c35,Male,Saturday,Night,Theft,Tustin
5722cc2efc13ae3fb3001c36,Male,Friday,Night,Assault,Tustin
5722cc2efc13ae3fb3001c37,Male,Saturday,Night,Theft,Placentia
5722cc2efc13ae3fb3001c38,Male,Saturday,Evening,Kidnap,Anaheim
5722cc2efc13ae3fb3001c39,Female,Sunday,Evening,Assault,Costa Mesa
5722cc2efc13ae3fb3001c3a,Female,Friday,Night,Assault,Fullerton
5722cc2efc13ae3fb3001c3b,Female,Sunday,Evening,Kidnap,Anaheim
5722cc2efc13ae3fb3001c3c,Male,Saturday,Night,Theft,Tustin
5722cc2efc13ae3fb3001c3d,Female,Saturday,Evening,Kidnap,Anaheim
5722cc2efc13ae3fb3001c3e,Male,Sunday,Night,Kidnap,Fullerton
5722cc2efc13ae3fb3001c3f,Male,Saturday,Night,Assault,Placentia
5722cc2efc13ae3fb3001c40,Female,Sunday,Night,Kidnap,Tustin
5722cc2efc13ae3fb3001c41,Male,Friday,Night,Kidnap,Fullerton
5722cc2efc13ae3fb3001c42,Female,Saturday,Night,Assault,Fullerton
5722cc2efc13ae3fb3001c43,Male,Sunday,Evening,Kidnap,Santa Ana
5722cc2efc13ae3fb3001c44,Male,Sunday,Evening,Assault,Costa Mesa
5722cc2efc13ae3fb3001c45,Male,Saturday,Evening,Assault,Anaheim
5722cc2efc13ae3fb3001c46,Male,Saturday,Evening,Theft,Placentia
5722cc2efc13ae3fb3001c47,Female,Saturday,Night,Theft,Costa Mesa
5722cc2efc13ae3fb3001c48,Female,Friday,Evening,Kidnap,Anaheim
5722cc2efc13ae3fb3001c49,Female,Sunday,Evening,Theft,Anaheim
5722cc2efc13ae3fb3001c4a,Female,Sunday,Night,Theft,Tustin
5722cc2efc13ae3fb3001c4b,Male,Sunday,Night,Theft,Santa Ana
5722cc2efc13ae3fb3001c4c,Female,Friday,Night,Theft,Santa Ana
5722cc2efc13ae3fb3001c4d,Female,Friday,Night,Kidnap,Santa Ana
5722cc2efc13ae3fb3001c4e,Female,Friday,Night,Kidnap,Costa Mesa
5722cc2efc13ae3fb3001c4f,Female,Saturday,Night,Assault,Fullerton
5722cc2efc13ae3fb3001c50,Male,Friday,Night,Theft,Fullerton
5722cc2efc13ae3fb3001c51,Male,Saturday,Night,Kidnap,Santa Ana
5722cc2efc13ae3fb3001c52,Male,Friday,Night,Theft,Tustin
5722cc2efc13ae3fb3001c53,Female,Friday,Evening,Theft,Tustin
5722cc2efc13ae3fb3001c54,Male,Sunday,Evening,Kidnap,Placentia
5722cc2efc13ae3fb3001c55,Female,Friday,Night,Assault,Santa Ana
5722cc2efc13ae3fb3001c56,Male,Friday,Evening,Theft,Santa Ana
